year,month,count,combined_date
2020,1,6317110,2020-01
2020,2,6220581,2020-02
2020,3,2965620,2020-03
2020,4,230531,2020-04
2020,5,336835,2020-05
2020,6,530115,2020-06
2020,7,772188,2020-07
2020,8,975017,2020-08
2020,9,1312700,2020-09
2020,10,1650166,2020-10
2020,11,1483202,2020-11
2020,12,1437400,2020-12
2021,1,1343633,2021-01
2021,2,1346651,2021-02
2021,3,1892358,2021-03
2021,4,2130852,2021-04
2021,5,2464340,2021-05
2021,6,2788830,2021-06
2021,7,2773242,2021-07
2021,8,2739741,2021-08
2021,9,2897170,2021-09
2021,10,3408413,2021-10
2021,11,3424458,2021-11
2021,12,3163124,2021-12
2022,1,2423144,2022-01
2022,2,2933259,2022-02
2022,3,3569044,2022-03
2022,4,3542145,2022-04
2022,5,3524118,2022-05
2022,6,3486393,2022-06
2022,7,3110137,2022-07
2022,8,3084151,2022-08
2022,9,3113320,2022-09
2022,10,3590655,2022-10
2022,11,3171445,2022-11
2022,12,3313125,2022-12
2023,1,2998608,2023-01
2023,2,2850852,2023-02
2023,3,3328989,2023-03
2023,4,3221451,2023-04
2023,5,46,2023-05
2019,1,7635304,2019-01
2019,2,6991042,2019-02
2019,3,7802205,2019-03
2019,4,7414533,2019-04
2019,5,7530381,2019-05
2019,6,6895948,2019-06
2019,7,6231001,2019-07
2019,8,5990659,2019-08
2019,9,6482328,2019-09
2019,10,7127820,2019-10
2019,11,6787511,2019-11
2019,12,6804324,2019-12
